App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver,Sentiment_Polarity,Size_MB
"Best Wallpapers Backgrounds(100,000+ 4K HD)",COMICS,4.7,3596,7.8M,"10,000+",Free,0.0,Teen,Comics,"June 16, 2018",1.01,4.0.3 and up,0.30042929292929293,7.8
Browser 4G,COMMUNICATION,4.3,192948,6.6M,"10,000,000+",Free,0.0,Everyone,Communication,"June 19, 2018",24.6.6,4.0.3 - 7.1.1,0.33708361185383245,6.6
Cricket Visual Voicemail,COMMUNICATION,3.9,13698,5.1M,"10,000,000+",Free,0.0,Everyone,Communication,"July 2, 2018",3.2.0.100171,4.1 and up,0.062002591819556106,5.1
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36880,4.0M,"1,000,000+",Free,0.0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.2092485894097222,4.0
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0.0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.4666666666666666,14.0
"GO SMS Pro - Messenger, Free Themes, Emoji",COMMUNICATION,4.4,2876500,24M,"100,000,000+",Free,0.0,Everyone,Communication,"August 1, 2018",7.73,4.0 and up,0.2024882756132756,24.0
Firefox Focus: The privacy browser,COMMUNICATION,4.4,36893,4.0M,"1,000,000+",Free,0.0,Everyone,Communication,"July 6, 2018",5.2,5.0 and up,0.2092485894097222,4.0
2ndLine - Second Phone Number,COMMUNICATION,4.2,15880,32M,"1,000,000+",Free,0.0,Everyone,Communication,"August 3, 2018",5.65.0,4.0 and up,0.16896820887445888,32.0
"CM Browser - Ad Blocker , Fast Download , Privacy",COMMUNICATION,4.6,2264916,6.1M,"50,000,000+",Free,0.0,Everyone,Communication,"July 31, 2018",5.22.18.0006,4.0 and up,0.012500000000000011,6.1
DU Browser—Browse fast & fun,COMMUNICATION,4.3,1133501,4.7M,"10,000,000+",Free,0.0,Everyone,Communication,"April 1, 2016",6.4.0.4,4.0 and up,0.17726609823708034,4.7
Contacts+,COMMUNICATION,4.2,190613,11M,"10,000,000+",Free,0.0,Everyone,Communication,"July 31, 2018",5.85.1,4.0.3 and up,0.41081458319945163,11.0
ExDialer - Dialer & Contacts,COMMUNICATION,4.2,125232,2.7M,"10,000,000+",Free,0.0,Everyone,Communication,"March 5, 2017",196,2.1 and up,0.2713527987019366,2.7
Calls & Text by Mo+,COMMUNICATION,4.2,83239,14M,"5,000,000+",Free,0.0,Everyone,Communication,"April 19, 2018",3.0.4,4.0 and up,0.4666666666666666,14.0
Full Screen Caller ID,COMMUNICATION,4.2,104990,10M,"5,000,000+",Free,0.0,Everyone,Communication,"May 15, 2018",3.5.0,4.0.3 and up,0.34557612414467254,10.0
Call Blocker,COMMUNICATION,4.1,17529,10M,"1,000,000+",Free,0.0,Everyone,Communication,"July 26, 2018",5.86,4.0.3 and up,0.02797258297258297,10.0
"CallApp: Caller ID, Blocker & Phone Call Recorder",COMMUNICATION,4.4,483565,20M,"10,000,000+",Free,0.0,Everyone,Communication,"July 29, 2018",1.286,4.1 and up,0.3907407407407408,20.0
Call Control - Call Blocker,COMMUNICATION,4.4,93825,11M,"5,000,000+",Free,0.0,Everyone,Communication,"July 5, 2018",2.17.3,4.1 and up,-0.041666666666666664,11.0
Caller ID +,COMMUNICATION,4.0,9498,118k,"1,000,000+",Free,0.0,Everyone,Communication,"June 7, 2016",5.28.0,2.3 and up,0.35,0.115234375
All Email Providers,COMMUNICATION,4.1,20901,7.3M,"1,000,000+",Free,0.0,Everyone,Communication,"April 3, 2018",5.0.9,4.1 and up,0.21500000000000002,7.3
GO Notifier,COMMUNICATION,4.2,124346,695k,"10,000,000+",Free,0.0,Everyone,Communication,"July 6, 2014",2.8,2.0 and up,0.06751958927510397,0.6787109375
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0.0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.033778594771241816,56.0
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0.0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.15679880237851251,12.0
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.13124668499668501,29.0
CMB Free Dating App,DATING,4.0,48845,40M,"1,000,000+",Free,0.0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.2917571204040017,40.0
Free Dating App & Flirt Chat - Match with Singles,DATING,4.4,172460,3.1M,"5,000,000+",Free,0.0,Mature 17+,Dating,"August 4, 2018",1.639,4.0 and up,0.33969696969696966,3.1
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.24934125871422946,5.0
Free Dating App & Flirt Chat - Cheers,DATING,4.4,667,27M,"10,000+",Free,0.0,Mature 17+,Dating,"August 3, 2018",1.308.us,4.1 and up,0.3019262941919192,27.0
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0.0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.14728845283112993,21.0
BLK - Swipe. Match. Chat.,DATING,4.1,2067,24M,"100,000+",Free,0.0,Mature 17+,Dating,"July 25, 2018",1.6.1,4.4 and up,0.30767763519549235,24.0
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1643,31M,"500,000+",Free,0.0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.32457028157028156,31.0
BeWild Free Dating & Chat App,DATING,3.4,1999,8.0M,"100,000+",Free,0.0,Mature 17+,Dating,"February 3, 2017",1.6.5,4.2 and up,0.17037221276530484,8.0
"FastMeet: Chat, Dating, Love",DATING,4.2,22544,5.9M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up,0.3441734006734007,5.9
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97684,7.9M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up,0.11783620099298064,7.9
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13046,13M,"500,000+",Free,0.0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,0.3325396825396825,13.0
Christian Dating For Free App,DATING,3.9,8722,13M,"500,000+",Free,0.0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up,0.09802603289938563,13.0
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35206,7.2M,"1,000,000+",Free,0.0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up,-0.06963979416809606,7.2
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",Free,0.0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up,0.20086835232668565,41.0
BBWCupid - BBW Dating App,DATING,3.5,241,2.8M,"50,000+",Free,0.0,Mature 17+,Dating,"June 1, 2018",2.2.0.1748,5.0 and up,0.12691173304809666,2.8
ChatVideo Meet new people,DATING,4.2,63986,20M,"5,000,000+",Free,0.0,Mature 17+,Dating,"May 31, 2018",3.0.15,4.0 and up,0.23191982566982566,20.0
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2430,13M,"500,000+",Free,0.0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,0.4209925788497217,13.0
CMB Free Dating App,DATING,4.0,48845,40M,"1,000,000+",Free,0.0,Mature 17+,Dating,"August 1, 2018",4.19.0.2320,4.4 and up,0.2917571204040017,40.0
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2556,56M,"100,000+",Free,0.0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.033778594771241816,56.0
Hinge: Dating & Relationships,DATING,4.2,7779,12M,"500,000+",Free,0.0,Mature 17+,Dating,"August 3, 2018",6.1.3,5.0 and up,0.15679880237851251,12.0
BBW Dating & Plus Size Chat,DATING,4.4,12632,29M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.13124668499668501,29.0
"Herpes Dating: 1,000K+ Singles",DATING,4.0,738,27M,"10,000+",Free,0.0,Mature 17+,Dating,"August 1, 2018",6.4.1,4.1 and up,0.17410830442498967,27.0
95Live -SG#1 Live Streaming App,DATING,4.1,4953,15M,"1,000,000+",Free,0.0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up,0.06900233100233101,15.0
Cougar Dating Life : Date Older Women Sugar Mummy,DATING,3.9,1645,31M,"500,000+",Free,0.0,Mature 17+,Dating,"July 3, 2018",4.5.5,4.1 and up,0.32457028157028156,31.0
2RedBeans,DATING,4.0,337,32M,"10,000+",Free,0.0,Mature 17+,Dating,"July 31, 2018",2.8.0,4.3 and up,0.4121991790261021,32.0
Dating for 50 plus Mature Singles – FINALLY,DATING,4.6,13049,13M,"500,000+",Free,0.0,Mature 17+,Dating,"July 31, 2018",4.17.2,4.1 and up,0.3325396825396825,13.0
"BiggerCity: Chat for gay bears, chubs & chasers",DATING,4.1,923,44M,"100,000+",Free,0.0,Mature 17+,Dating,"August 2, 2018",3.4.1.1,4.1 and up,0.21167546399141793,44.0
Herpes Positive Singles Dating,DATING,4.4,198,28M,"10,000+",Free,0.0,Mature 17+,Dating,"May 18, 2018",5.5.7,4.1 and up,0.3066502396413111,28.0
"FastMeet: Chat, Dating, Love",DATING,4.2,22545,5.9M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 27, 2018",1.31.4,4.0.3 and up,0.3441734006734007,5.9
Christian Dating For Free App,DATING,3.9,8723,13M,"500,000+",Free,0.0,Mature 17+,Dating,"June 20, 2018",15.8,4.1 and up,0.09802603289938563,13.0
Gay Sugar Daddy Dating & Hookup – Sudy Gay,DATING,4.1,2212,41M,"100,000+",Free,0.0,Mature 17+,Dating,"June 20, 2018",2.0.5,4.0.3 and up,0.20086835232668565,41.0
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,"10,000+",Free,0.0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up,0.18276632996632997,27.0
"Hide App, Private Dating, Safe Chat - PrivacyHider",DATING,4.4,35205,7.2M,"1,000,000+",Free,0.0,Everyone,Dating,"May 21, 2018",2.9.6,4.0 and up,-0.06963979416809606,7.2
Hitwe - meet people and chat,DATING,4.2,243950,21M,"10,000,000+",Free,0.0,Mature 17+,Dating,"May 10, 2018",4.3.2,4.1 and up,-0.13945601851851852,21.0
95Live -SG#1 Live Streaming App,DATING,4.1,4954,15M,"1,000,000+",Free,0.0,Teen,Dating,"August 1, 2018",8.7.2,4.2 and up,0.06900233100233101,15.0
"Hily: Dating, Chat, Match, Meet & Hook up",DATING,4.1,2560,56M,"100,000+",Free,0.0,Mature 17+,Dating,"August 1, 2018",2.5.2,4.1 and up,0.033778594771241816,56.0
Black People Meet Singles Date,DATING,3.9,10212,5.0M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 25, 2018",1.9.7,4.4 and up,0.24934125871422946,5.0
BBW Dating & Plus Size Chat,DATING,4.4,12633,29M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 27, 2018",3.5.0.1,4.1 and up,0.13124668499668501,29.0
"2Date Dating App, Love and matching",DATING,4.4,41605,8.1M,"500,000+",Free,0.0,Mature 17+,Dating,"July 26, 2018",4.813,4.0.3 and up,0.2802671702652353,8.1
BBW Dating & Curvy Singles Chat- LargeFriends,DATING,4.4,218,27M,"10,000+",Free,0.0,Mature 17+,Dating,"July 23, 2018",5.2.9,4.1 and up,0.18276632996632997,27.0
FlirtChat - ♥Free Dating/Flirting App♥,DATING,4.3,2433,13M,"500,000+",Free,0.0,Mature 17+,Dating,"July 26, 2018",12.0.4,4.1 and up,0.4209925788497217,13.0
Free Live Talk-Video Call,DATING,4.7,158,4.5M,"10,000+",Free,0.0,Mature 17+,Dating,"July 5, 2018",8.2,4.0.3 and up,-0.1,4.5
Free Dating Hook Up Messenger,DATING,3.3,1157,21M,"100,000+",Free,0.0,Mature 17+,Dating,"January 27, 2017",5.0.1,4.2 and up,0.14728845283112993,21.0
"Free Dating App - YoCutie - Flirt, Chat & Meet",DATING,4.1,97699,7.9M,"1,000,000+",Free,0.0,Mature 17+,Dating,"July 10, 2018",1.230,4.0.3 and up,0.11783620099298064,7.9
Babbel – Learn Languages,EDUCATION,4.3,266948,21M,"10,000,000+",Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.3916361531986532,21.0
Flippy Campus - Buy & sell on campus at a discount,EDUCATION,4.0,889,7.4M,"500,000+",Free,0.0,Everyone,Education,"March 9, 2018",2.2.4,4.2 and up,0.39528393175452,7.4
ABC Preschool Free,EDUCATION,3.8,27572,25M,"5,000,000+",Free,0.0,Everyone,Education;Education,"October 25, 2017",3.0,2.3 and up,0.22080488040123458,25.0
English with Lingualeo,EDUCATION,4.7,254519,27M,"5,000,000+",Free,0.0,Everyone,Education,"July 20, 2018",2.8.1,4.1 and up,0.13516865079365076,27.0
C++ Tutorials,EDUCATION,4.1,358,1.9M,"50,000+",Free,0.0,Everyone,Education,"August 21, 2014",1.1,2.3 and up,0.5309259259259259,1.9
C++ Programming,EDUCATION,4.3,11904,1.8M,"1,000,000+",Free,0.0,Everyone,Education,"August 22, 2015",2.0,2.3 and up,0.19645104943282027,1.8
C Programming,EDUCATION,4.3,22251,1.8M,"1,000,000+",Free,0.0,Everyone,Education,"June 28, 2015",3.0,2.3 and up,0.2768000669964955,1.8
GMAT Question Bank,EDUCATION,4.2,240,29M,"10,000+",Free,0.0,Everyone,Education,"April 29, 2015",1.2.0,2.3.3 and up,0.26889992360580595,29.0
GRE Tutor,EDUCATION,4.0,275,2.3M,"50,000+",Free,0.0,Everyone,Education,"December 2, 2013",2.9,2.1 and up,0.4086946386946387,2.3
Babbel – Learn Languages,EDUCATION,4.3,266935,21M,"10,000,000+",Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.3916361531986532,21.0
Babbel – Learn Spanish,EDUCATION,4.4,54798,11M,"1,000,000+",Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.3093640734265734,11.0
HomeWork,EDUCATION,4.3,16195,5.2M,"1,000,000+",Free,0.0,Everyone,Education,"September 20, 2016",8.5.2,4.0 and up,1.0,5.2
Common Core,EDUCATION,4.0,835,15M,"100,000+",Free,0.0,Everyone,Education,"December 20, 2016",2.3.1,2.3 and up,-0.008810779993815729,15.0
Homework Planner,EDUCATION,4.0,2525,1.2M,"100,000+",Free,0.0,Everyone,Education,"January 11, 2015",15.9.4,4.0 and up,0.2775236133048633,1.2
Edmodo,EDUCATION,4.1,200058,18M,"10,000,000+",Free,0.0,Everyone,Education,"July 20, 2018",9.12.5,4.0.3 and up,0.40415553494124923,18.0
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84309,41M,"5,000,000+",Free,0.0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up,0.20232638888888888,41.0
Babbel – Learn Languages,EDUCATION,4.3,266948,21M,"10,000,000+",Free,0.0,Everyone,Education,"July 30, 2018",20.7.2,4.4 and up,0.3916361531986532,21.0
EasyBib: Citation Generator,EDUCATION,3.5,1405,7.3M,"100,000+",Free,0.0,Everyone,Education,"March 29, 2018",2.4.4,4.0 and up,0.07183166248955723,7.3
"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4.4,84311,41M,"5,000,000+",Free,0.0,Everyone,Education,"July 25, 2018",2.6.6,4.1 and up,0.20232638888888888,41.0
H TV,ENTERTAINMENT,4.3,103078,5.6M,"5,000,000+",Free,0.0,Everyone,Entertainment,"July 5, 2018",4.6.2,2.3.3 and up,0.3021153846153846,5.6
Amazon Prime Video,ENTERTAINMENT,4.2,411683,24M,"50,000,000+",Free,0.0,Teen,Entertainment,"August 2, 2018",3.0.231.18141,4.1 and up,0.46111111111111114,24.0
Cinemark Theatres,ENTERTAINMENT,4.1,21867,39M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 12, 2018",2.19.0,5.0 and up,0.07015540674603174,39.0
Harkins Theatres,ENTERTAINMENT,4.3,1511,12M,"100,000+",Free,0.0,Everyone,Entertainment,"June 11, 2018",2.1.1,4.1 and up,0.08864442831572625,12.0
AMC Theatres,ENTERTAINMENT,4.3,44550,72M,"1,000,000+",Free,0.0,Everyone,Entertainment,"July 18, 2018",6.18.3,5.0 and up,0.13569444444444442,72.0
Cooking Channel,ENTERTAINMENT,4.1,1033,16M,"100,000+",Free,0.0,Teen,Entertainment,"July 27, 2018",Varies with device,Varies with device,0.364018944018944,16.0
Animal Planet GO,ENTERTAINMENT,4.2,2442,9.6M,"100,000+",Free,0.0,Teen,Entertainment,"July 24, 2018",2.9.4,4.1 and up,0.2735714285714286,9.6
Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3.0,493,23M,"50,000+",Free,0.0,Everyone,Entertainment,"June 15, 2018",2.0.0,4.4 and up,0.0860583905828471,23.0
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.2112787731438599,20.0
A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4.0,29706,19M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.35388257575757576,19.0
BET NOW - Watch Shows,ENTERTAINMENT,4.2,14807,19M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.0510880756974507,19.0
Comedy Central,ENTERTAINMENT,3.9,22378,19M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 8, 2018",11.45.0,4.4 and up,0.17142376628681774,19.0
CW Seed,ENTERTAINMENT,4.5,16372,13M,"500,000+",Free,0.0,Teen,Entertainment,"July 18, 2018",1.16,4.4 and up,0.3055693342151675,13.0
HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4.1,33387,20M,"1,000,000+",Free,0.0,Teen,Entertainment,"July 16, 2018",3.1.4,4.4 and up,0.2112787731438599,20.0
